Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Pyrenean Mastiff,Working,,,,8 - 13 yrs.,28 - 30 in.,160 - 190 lbs,80,95,80,60,48,100,33,75,20,50,25,40,90,80,90,20,40,40,21,80,"Very friendly, Extremely intelligent, Few health problems, Bonds closely with family, Highly protective of property, Gets along well with other pets, Wonderful family-oriented dogs, Can make excellent therapy dogs, Easy to train for the right person, Won't hesitate to face threats to loved ones","Pyrenean Mastiff information, facts, and high-quality breed pictures. Learn everything about the Pyrenean Mastiff dog breed including temperament, care, and more.","This ancient Molosser breed may look a little like a number of other giant mountain dogs, but those who are familiar with the breed will know the finer differences. These dogs have been around for centuries and are highly prized where they remain ""employed"" as Livestock Guardian Dogs. The FCI recognized the breed in 1954, shortly before the breed was nearly extinct. The AKC placed the dog in its Foundation Stock Service (FSS) in 2014. The Pyrenean Mastiff is classified in the Working Dog Group by the AKC and as a Moloss..."
Pyrenean Mountain Dog,Pastoral,,,,10 - 12 yrs.,25 - 32 in.,100 - 160 lbs,60,95,91,95,31,67,17,25,35,50,88,35,100,40,90,5,100,90,16,70,"Very gentle, Courageous, Great with kids, Highly intelligent, Wonderfully calm, Extremely confident, Perfect for very cold weather, Ideal for farms and rural areas","Everything about the Great Pyrenees dog breed. Discover Great Pyrenees coloring, sizing, traits, lifespan, and compare Great Pyrenees to other dog breeds.","Great Pyrenees makes an excellent family dog, but may be too much to handle for inexperienced dog owners. Like many guard dog breeds, great Pyrenees are free thinkers which makes the breed more difficult to train, and great Pyrenees need to be trained. Untrained great Pyrenees quickly become uncontrollable which can be a disaster considering the breed can often exceed 160 pounds in weight. The Great Pyrenees is a Livestock Guardian Dog (LGD). They are huge dogs and they are serious about their work. They can make good f..."
Pyrenean Sheepdog (Long Haired),Pastoral,,,,12 - 16 yrs.,15 - 21 in.,15 - 30 lbs,80,95,95,40,48,83,67,75,40,38,75,40,40,95,90,95,20,20,42,80,"Small- to medium-sized (average of 18 inches at the shoulders in height and 22 pounds in weight), Two coat varieties: rough-faced and smooth-faced, AKC Breed Rank: 176 of 194","Pyrenean Shepherd information, facts, and high-quality breed pictures. Learn everything about the Pyrenean Shepherd dog breed including temperament, care, and more.","Pyr Sheps come in both Smooth-Faced and Rough-Faced coat varieties. They don't require much grooming and they usually respond well to training, but they'll need a lot of exercise and frequent socialization. The Pyrenean Shepherd, a member of the Herding Group of breeds, was originally developed as a livestock herder centuries ago in Central Europe. As such, dogs of this breed are excellent working animals on farms--but they make great pets for active, experienced owners as well. A few breed facts:"
Pyrenean Sheepdog (Smooth Faced),Pastoral,,,,12 - 16 yrs.,15 - 21 in.,15 - 30 lbs,80,95,95,40,48,83,67,75,40,38,75,40,40,95,90,95,20,20,42,80,"Small- to medium-sized (average of 18 inches at the shoulders in height and 22 pounds in weight), Two coat varieties: rough-faced and smooth-faced, AKC Breed Rank: 176 of 194","Pyrenean Shepherd information, facts, and high-quality breed pictures. Learn everything about the Pyrenean Shepherd dog breed including temperament, care, and more.","Pyr Sheps come in both Smooth-Faced and Rough-Faced coat varieties. They don't require much grooming and they usually respond well to training, but they'll need a lot of exercise and frequent socialization. The Pyrenean Shepherd, a member of the Herding Group of breeds, was originally developed as a livestock herder centuries ago in Central Europe. As such, dogs of this breed are excellent working animals on farms--but they make great pets for active, experienced owners as well. A few breed facts:"
Retriever (Chesapeake Bay),Gundog,,,,10 - 13 yrs.,21 - 26 in.,65 - 80 lbs,60,95,60,20,31,100,33,25,80,25,63,60,60,80,70,20,40,60,21,80,,"Chesapeake Bay Retriever information, facts, and high-quality breed pictures. Learn everything about the Chesapeake Bay Retriever dog breed including temperament, care, and more.","Chessies are considered large sized dogs. Females usually stand 21-24 inches tall and weigh around 55-70 pounds. Males will be larger reaching 23-26 inches and weighing in at 65-80 pounds. This is a great breed for all ages and would make an equally wonderful companion as a hunting dog. Affectionate and lively, Chessies are very fond of the attention children can give them. They are not overly playful and often regard other pets as beings to either be protected or ignored completely. These dogs truly desire companionshi..."
Retriever (Curly Coated),Gundog,,,,8 - 12 yrs.,23 - 27 in.,60 - 70 lbs,80,95,95,80,66,100,67,88,60,50,50,80,90,95,100,20,60,60,63,90,"Versatile retriever, gentle, Loyal and protective, Good watchdog, Usually easily trained, Excellent family companion, Happy exercise buddy, Low maintenance grooming, Can do well with other pets, Wants to be involved as much as possible","Curly Coated Retriever information, facts, and high-quality breed pictures. Learn everything about the Curly Coated Retriever dog breed including temperament, care, and more.","Recognized as a member of the Sporting Group as early as 1924, the Curly Coated Retriever is one of the oldest Retriever breeds. First shown in Birmingham, England in 1860 they became popular, not as aristocratic hunting companions, but as the average man's hunting dog. The AKC recognized the breed in 1924, however, they are rare in the United States and no longer hold such high popularity in England; they are common in Australia and New Zealand though. They are proud, confident and eager to please while on the job and ..."
Retriever (Flat Coated),Gundog,,,,8 - 10 yrs.,22 - 24½ in.,70 - 80 lbs,95,95,95,95,96,67,67,88,80,50,75,80,20,95,50,20,20,20,42,90,,"Flat-coated Retriever information, facts, and high-quality breed pictures. Learn everything about the Flat-coated Retriever dog breed including temperament, care, and more.","This is a medium sized breed. An adult male Flat-Coated Retriever will stand 23 to 24.5 inches tall from ground to shoulder; a female will stand 22 to 23.5 inches. The average weight of an adult Flat-Coated Retriever is 55 to 70 pounds. Their medium size makes them great all-around dogs; they are strong, quick, and robust. These dogs are very spirited, warm, and sociable. They love being around people and will get along with most anyone they meet, including children and other dogs. They might bark at strangers approachi..."
Retriever (Golden),Gundog,,,,10 - 12 yrs.,21 - 24 in.,60 - 80 lbs,95,95,95,95,96,50,67,63,40,63,38,95,20,95,30,40,20,20,63,90,"Great with kids, Barks very little, Loves other pets, Highly adaptable, Immensely friendly, Extremely intelligent, Great for very active people","Everything about the Golden Retriever dog breed. Discover Golden Retriever coloring, sizing, traits, lifespan, and compare Golden Retrievers to other dog breeds","The golden retriever is a sporting dog and feels compelled to perform tasks whether it's retrieving waterfowl, fetching the newspaper, or greeting guests. As a sporting dog, the golden retriever has abundant energy and will require 30-40 minutes of exercise daily in order to keep the dog from becoming hyperactive. The Golden Retriever is a gun dog whose abilities to track and retrieve in cold, wet, hilly terrain is well-known the world over. They are also renowned as excellent family pets and for their versatility in se..."
Retriever (Labrador),Gundog,,,,10 - 12 yrs.,21 - 24 in.,55 - 80 lbs,95,95,95,90,96,67,67,75,60,75,63,95,10,90,20,20,40,40,63,90,"Highly trainable, Loves other dogs, Great for older kids, Coat is easy to clean, Excellent hunting dog, Perfect for highly active lifestyles, Gets along well with most non-canine pets","Everything about the Labrador Retriever dog breed. Discover lab coloring, sizing, traits, lifespan, and compare labs to other dog breeds.","Labrador retrievers have a strong desire to please and are extremely intelligent dogs. This has not only made them perfect companion dogs, but also ideal hunting dogs, assistance dogs, search and rescue dogs, as well as the top choice for many other jobs. There are many Labrador facts, but you should understand that these dogs are first and foremost hunters who are also great gun dogs. If they are not regularly used for hunting, they need a similarly strenuous job that will keep them mentally and physically stimulated. ..."
Retriever (Nova Scotia Duck Tolling),Gundog,,,,10 - 14 yrs.,17 - 21 in.,45 - 52 lbs,95,95,95,80,83,100,100,100,80,50,25,80,40,95,50,95,40,40,63,80,"Excellent retriever, Playful yet patient with kids, Attention loving and affectionate, Good with other pets, Not aggressive towards strangers, Excellent exercise buddy, Can spend time outdoors, Easy to groom","Nova Scotia Duck Tolling Retriever information, facts, and high-quality breed pictures. Learn everything about the Nova Scotia Duck Tolling Retriever dog breed including temperament, care, and more.","The Nova Scotia Duck Tolling Retriever has plenty of interesting facts! For instance, it was first referred to as the Yarmouth Toller or the Little River Duck Dog. They are the smallest of the retrievers and placed in the Sporting Category of the AKC. They also have emit an exited high pitch howl known as the ""Toller Scream"" instead of barking many times. On to the finer points: the breed is recommended for a hunter or active, outdoorsy and athletic owner or family. They don't do well as an apartment dog and should have..."
Rhodesian Ridgeback,Hound,,,,10 - 12 yrs.,24 - 27 in.,80 - 90 lbs,95,100,100,95,70,100,83,75,60,25,0,85,50,70,70,10,30,25,74,70,"Hip Dysplasia, Thyroiditis- Hypothyroidism, in particular is increasingly common and manifests as weight gain and hair loss; it is detected via blood test., Eye Disease, Bloat, Dermoid Sinus- Rare infiltration of the neural tube by dirt, debris and infectious material that travels to the spinal cord and causes great damage such as meningitis. Costly to surgically remove and may be deadly., Canine Papillomas- Caused by a contagious virus (only to dogs), these warts in your dogs mouth should disappear over time., Degenerative Myelopathy- This rare spinal condition causes partial paralysis of the limbs over time","Everything about the Rhodesian Ridgeback dog breed. Discover Rhodesian Ridgeback coloring, sizing, traits, lifespan, and compare Ridgebacks to other dog breeds","Rhodesian Ridgebacks are an intelligent, sensitive, protective and affectionate...not to mention good-natured. Not convinced yet? They excel in nearly all athletic events and likely have the highest endurance of any dog breed making them a runner's dream dog as the breed can run a distance of 30 miles in 60-90 minutes. This low maintenance dog is easily trained and an excellent choice for families with children and other pets. Rhodesian Ridgebacks are gentle, sensitive and even tempered companions that make excellent fa..."
Rottweiler,Working,,,,8 - 11 yrs.,22 - 27 in.,85 - 130 lbs,95,90,85,40,83,100,33,50,65,25,75,80,100,95,100,40,15,15,21,80,,"Everything about the Rottweiler dog breed. Discover Rottweiler coloring, sizing, traits, lifespan, and compare Rottweilers to other dog breeds.","Rotties have a very strong protective instinct which can make the breed tricky for those not accustomed to this behavior. It is important to fully train and socialize rottweilers at a young age so their overly protective instinct doesn't lead to aggression issues in adulthood. With this in mind, rottweilers are not an overly aggressive bully breed by nature. Well bred and properly socialized rotties are generally playful, friendly, and loving dogs. Rottweilers are considered a large to giant dog breed with males weighin..."
Russian Black Terrier,Working,,,,10 - 12 yrs.,26 - 30 in.,110 - 132 lbs,80,90,90,40,66,50,83,88,60,63,50,80,90,95,80,60,20,20,42,80,"Allergies, Hip dysplasia, Elbow dysplasia, Urinary tract stones, Progressive Retinal Atrophy (PRA)","Black Russian Terrier information, facts, and high-quality breed pictures. Learn everything about the Black Russian Terrier dog breed including temperament, care, and more.","The Black Russian Terrier is not a Terrier despite the 20% to 30% of that part of the breed. These dogs have a rich, new, and fascinating history after having been secretly bred by the Soviet army to protect border crossings, military areas, and Soviet gulags. It didn't take long for the civilian population to be introduced to the dogs (other than in a vicious fashion, that is), and as the Soviet Union began to crumble, the dogs began to be introduced to the rest of the world. The Black Russian Terrier is a guard dog th..."
Russian Toy,Toy,,,,10 - 12 yrs.,7½ - 11 in.,6 - 6 lbs,60,80,40,60,48,50,50,38,80,50,88,60,70,95,100,95,40,40,84,70,"Perfectly sized for small dwellings, Generally good with visitors, Not aggressive, Ok with other pets, Lap dog and attention loving companion, Good with travel, Excellent watch dog, Fairly easy to train, Excels in agility activities, Exercise needs easily met","Russkiy Toy information, facts, and high-quality breed pictures. Learn everything about the Russkiy Toy dog breed including temperament, care, and more.","The Russkiy Toy, or Russian Toy Terrier, is a companion breed that has graced many laps over it's history-- from the aristocratic to the most humble. These dogs are happy and playful so be prepared to devote plenty of time and energy to them daily. This is an indoor breed that does best with owners without children or that has older children due to their fragility. Some are outgoing others are reserved, but you can bet they will be an excellent watchdog. Exercise needs are modest, while grooming requirements are moderat..."
Saluki,Hound,,,,12 - 14 yrs.,21 - 28 in.,45 - 65 lbs,80,90,75,75,26,100,67,100,65,25,25,80,40,90,60,10,15,15,21,70,"Exceptionally athletic and fast; Saluki speed is virtually unmatched by any other breed, Affectionate towards family members, Low barking tendency, Sheds very little, Fairly intelligent, Few health issues, Minimal grooming needs, Socializes well with other dogs, Fantastic jogging companion (will definitely need a leash!)","Saluki information, facts, and high-quality breed pictures. Learn everything about the Saluki dog breed including temperament, care, and more.","The Saluki is a medium- to large-sized dog breed that originated in the Middle East. Known for its incredible running ability, the Saluki is exceptionally athletic, but typically has a sensitive and mild-mannered demeanor. These dogs have moderate maintenance needs (lots of exercise, a fair amount of training, and little grooming), and are considered very healthy. Overall, Salukis are best suited for actives families who are willing to provide their dogs with plenty of attention."
Samoyed,Pastoral,,,,10 - 12 yrs.,19 - 23½ in.,45 - 65 lbs,95,95,95,95,96,100,33,50,60,50,63,60,80,95,80,40,40,40,42,90,"Loving, playful, and adaptable, Low to moderate maintenance needs, Intelligent and intuitive, Excellent ""cold-weather"" dogs, Socialize very well with kids, pets, and strangers alike, Easily trained, Fairly good health","Samoyed information, facts, and high-quality breed pictures. Learn everything about the Samoyed dog breed including temperament, care, and more.","Although they tend to be mischievous if left untrained or bored, they are unusually bright and easy to train for obedience (as well as housebreaking). Samoyeds shed constantly and heavily once or twice per year but are, otherwise, simple to groom. Ideally, your Samoyed will live indoors where he/she can bond closely with you but they also need a fenced yard. They have an impressively abundant and attractive coat that lets them survive (and thrive) in cold to well below freezing temperatures so they should not be kept an..."
Schipperke,Utility,,,,12 - 15 yrs.,10 - 13 in.,15 - 18 lbs,60,80,95,40,48,83,67,75,100,38,63,40,50,95,80,80,60,60,84,90,"Epilepsy, Cataracts, Hip Dysplasia, Hypothyroidism, Legg Calve Perthes, Progressive Retinal Atrophy (PRA)","Schipperke information, facts, and high-quality breed pictures. Learn everything about the Schipperke dog breed including temperament, care, and more.","Originally bred to be a smaller sheepdog that would have all the qualities of their larger brethren, the Schipperke was also bred to be a watchdog and companion. To this end, they demand constant human company and will bark a great amount to alert them to any dangers. They are not for families looking for their first dog, especially when it comes to obedience training. While they are adaptable to apartment life, they need a great amount of exercise to be healthy and happy in such a space. They are best for people who ar..."
Schnauzer,Utility,,,,12 - 14 yrs.,17 - 20 in.,35 - 50 lbs,60,80,80,60,48,33,33,50,100,25,25,60,80,95,90,80,40,40,42,90,,"Standard Schnauzer information, facts, and high-quality breed pictures. Learn everything about the Standard Schnauzer dog breed including temperament, care, and more.","Standard Schnauzers are medium sized dogs; they fall between the Giant and Miniature varieties in terms of height and weight. The females stand about 17-19 tall and weigh in somewhere between 30-45 pounds while males are 18-20 inches and 35-50 pounds. If socialized and trained as a puppy this breed is good with other pets; animals resembling rodents should be kept in their proper enclosed areas away from the Schnauzer, as they have a history of hunting vermin. This breed prefers having a family to protect and an extende..."
Scottish Terrier,Terrier,,,,12 - 15 yrs.,10 - 11 in.,18 - 22 lbs,80,95,80,80,83,33,0,25,85,25,75,20,30,80,30,80,60,60,42,70,"Extremely loyal, Good watchdog, Decent guard dog, Doesn't shed much, Remarkably fearless, High tolerance to cold, Not good for running or bicycling activity","Everything about the Scottish Terrier dog breed. Discover Scottish Terrier coloring, sizing, traits, lifespan, and compare Scottish Terriers to other dogs.","Scottish terriers are bold and will stand up for themselves if they feel pushed around by another pet or person. They are loving and affectionate towards their family, but are naturally suspicious of strangers so it may take some time for them to get used to new guests. Scottish Terriers were bred to be ratters and hunters. They are built to ""go to ground,"" which means they will chase small game and vermin through the brush, under obstacles and ultimately into underground tunnels and holes. They make great family pets s..."
Sealyham Terrier,Terrier,,,,12 - 14 yrs.,10½ - 10½ in.,23 - 24 lbs,80,80,80,80,66,83,17,25,100,13,88,60,40,80,90,80,40,40,84,70,"Problems with the eyes such as Glaucoma and Primary Lens Luxation, Intervertebral Disc Disease, Allergies and other skin problems, Ear infections","Sealyham Terrier information, facts, and high-quality breed pictures. Learn everything about the Sealyham Terrier dog breed including temperament, care, and more.","The Sealyham Terrier is a Welsh breed names for the Sealyham estate of Captain John Edwardes. Edwardes sought to create the perfect canine to rid his property of otters, badgers and other varmint. He succeeded in producing a Terrier that is confident, determined and devoted with a humorous personality and a true affinity for people. Sealyhams are small but sturdy with long heads and weather resistant, wiry coats; the top layer is wiry and long-- Sealyhams are known for their nearly all white color and ""fall"" of hair dow..."
Shar Pei,Utility,,,,8 - 12 yrs.,18 - 20 in.,40 - 55 lbs,40,40,40,20,48,100,17,38,20,25,13,60,90,20,90,80,80,80,42,40,"Eye issues are very common to the breed. Primary lens luxation, entropion, glaucoma and cataracts are just a few examples., Allergies, Skin problems such as mange, pyoderma and cutaneous mucinosis are common due to the heavily wrinkled skin., SPAID is a term for a host of inflammatory conditions that affect different body systems of the Shar pei., Gastrointestinal issues, Thyroid disorders, Immune deficiencies, Muscle and joint disorders","Everything about the Chinese Shar Pei dog breed. Discover Shar Pei coloring, sizing, traits, lifespan, and compare Shar Peis to other dog breeds.","The breed is both intelligent and free thinking, which can make the breed a bit stubborn. Because of this the Shar Pei will do best in a household with a strong leader, otherwise the Shar Pei may assume the role. Many potential owners see only a Shar pei's wrinkly body and so-ugly-it's-cute face and think it must be the bred for them. This is the part where we outline benefits and potential problems of owning one of these dogs. The first question on a potential owner's mind is usually "" Are Shar pei dangerous dogs?"". Th..."
Shetland Sheepdog,Pastoral,,,,12 - 14 yrs.,13 - 16 in.,11 - 24 lbs,95,95,95,80,96,17,50,50,80,88,88,95,70,80,90,40,40,40,63,100,,"Sheltie information, facts, and high-quality breed pictures. Learn everything about the Sheltie dog breed including temperament, care, and more.","High maintenance would describe the grooming requirements of these long-haired shedders but this is made up for by their ease in training. Moderate exercise is required and they enjoy a fenced yard, but this is not a requirement. They can live indoors and enjoy doing so as they should not be left without company for long periods of time. Even though many Shelties live the full 12-14 years without any health issues, owners should make routine veterinary visits and look into genetic testing if they are concerned for their..."
Shih Tzu,Utility,,,,10 - 15 yrs.,9 - 10 in.,9 - 16 lbs,95,95,80,80,96,67,33,25,60,0,63,60,20,80,20,95,60,60,100,70,,"Everything about the Shih Tzu dog breed. Discover Shih Tzu coloring, sizing, traits, lifespan, and compare Shih Tzus to other dog breeds.","Shih Tzu's were bred for companionship and so by instinct they are very friendly dogs and want to be with their owner all day. It is not uncommon for shih tzus to follow their owner room to room without any incentive. The shih tzu is one of the worlds oldest dogs. The breed can be found in paintings and writings as old as 618 A.D., but it is likely the breed is far older than that. The breed was first noticed in China and have been associated with that region ever since."
Siberian Husky,Working,,,,12 - 15 yrs.,20 - 23 in.,35 - 60 lbs,95,95,90,95,96,50,67,63,80,63,100,40,10,95,20,40,20,20,21,60,,"Everything about the Siberian Husky dog breed. Discover husky coloring, sizing, traits, lifespan, and compare huskies to other dog breeds.","Although the need for sled dogs today is not as vital as it once was, there are many events which use huskies to re-trace the older sled routes in remembrance of the people and dogs that were vital to the wellness of isolated towns. Siberian huskies are medium sized dog breeds with adults weighing 35-60 pounds and standing 20-23 inches tall from ground to shoulder. Their compact size makes them easy to transport and perfect for any home environment (as long as it's not too hot)."
Skye Terrier,Terrier,,,,12 - 15 yrs.,9 - 10 in.,25 - 40 lbs,80,80,80,40,96,67,33,50,100,50,75,40,20,80,70,80,40,40,84,70,"Affectionate and good-natured, Intelligent, Good watchdog abilities, Adapts well to apartment life, Excellent health, Good for first-time owners, Comical, playful demeanor, Adaptable to a variety of climates, Great for families with children (especially older ones)","Skye Terrier information, facts, and high-quality breed pictures. Learn everything about the Skye Terrier dog breed including temperament, care, and more.","According to the United Kingdom's official Kennel Club, the Skye Terrier is currently under threat of extinction. As of 2013, the club estimated the number of Skye Terriers in the U.K. at less than 400. The Skye Terrier, as its name suggests, is a member of the Terrier group of breeds. Dogs of this breed are quite rare, and were created centuries ago to hunt vermin and small game, but are now considered companion dogs; as such, they're great for families of any size (particularly those with older children), seniors, and..."
Sloughi,Hound,,,,12 - 15 yrs.,24 - 29 in.,45 - 70 lbs,,,,,,100,67,75,,25,25,,60,,80,,,,,70,,"Everything about the Sloughi dog breed. Discover Sloughi coloring, sizing, traits, lifespan, and compare Sloughis to other dog breeds.","The Sloughi (sometimes called the Arabian Greyhound) is a medium- to large-sized sighthound that originated thousands of years ago, probably in North Africa. These tall, lean dogs, like the Saluki or Greyhound , are very fast hunting dogs with a focused, ""no-nonsense"" temperament. The Sloughi won't need a ton of care and maintenance, but will require a lot of exercise and some early training and socialization. The breed, while recognized by most major kennel clubs, is pretty rare. The Sloughi is 192nd on the American Ke..."
Slovakian Rough Haired Pointer,Gundog,,,,12 - 15 yrs.,22½ - 27 in.,55 - 77 lbs,60,95,60,60,48,50,67,75,80,13,25,80,70,95,80,40,40,40,63,80,"Elegant, Loves water, Hypoallergenic, Very fast runner, Sheds very little, Loves family life, Few health concerns, Fine with other dogs, Excellent hunting dog, Great for active people, Highly tolerant of cold weather, Easy to train for the right person","Slovak Rough Haired Pointer information, facts, and high-quality breed pictures. Learn everything about the Slovak Rough Haired Pointer dog breed including temperament, care, and more.","The Slovak Rough-haired Pointer is a strikingly beautiful big gundog whose breed was established in the 1950s by Koloman Slimak. It took a few decades to get the breed recognized by the Fédération Cynologique Internationale (FCI), and its introduction during a 2007 Crufts dog show has helped immensely afterward. There has been a lot of confusion with the dog's name, however, and until 1975, a mistranslation had the dog identified as a Rough Haired Weimaraner. The Slovak Rough-haired Pointer is a hunting dog that is very..."
Small Munsterlander,Gundog,,,,13 - 14 yrs.,20 - 22 in.,35 - 60 lbs,95,95,95,95,83,67,100,100,100,50,75,95,60,80,70,20,80,80,42,90,"Courageous, Love to swim, Fast runners, Great with kids, Very intelligent, Highly versatile, Remarkably loyal, Extremely devoted, Strong pack instincts, Little-to-no doggy odor, Few genetic health concerns, Supremely gifted hunting dog, Perfect for very active lifestyles, Easily trainable with the right person","Munsterlander information, facts, and high-quality breed pictures. Learn everything about the Munsterlander dog breed including temperament, care, and more.","The Small Munsterlander is a superior hunting breed. These dogs are rarely seen outside Germany. There are said to be only about 2,000 in the United States and even fewer in the United Kingdom. The FCI formally recognized the breed in 1955, and the dog is in the AKC's Foundation Stock Service. The Small Munsterlander is a highly skilled hunting dog. They are not recommended for first-time dog owners. They are great for experienced hunting dog owners, families with kids and other dogs, and homes where they have a purpose..."
Soft Coated Wheaten Terrier,Gundog,,,,12 - 15 yrs.,17 - 20 in.,35 - 45 lbs,95,95,95,90,96,100,33,50,85,25,50,80,20,95,40,95,40,40,84,70,"Intelligent, Fairly low-maintenance, Good with children, Extremely alert and enthusiastic, Great watchdog abilities, Socializes well with other dogs, Adapts well to a variety of living situations, Good for first-time owners, Fairly healthy overall, Sheds very little","Everything about the Soft Coated Wheaten Terrier dog breed. Discover Soft Coated Wheaten Terrier coloring, sizing, traits, lifespan, and compare Soft Coated Wheaten Terriers to other dog breeds","The Soft Coated Wheaten Terrier was originally bred for herding and guarding livestock in addition to hunting vermin. However, this breed with its happy attitude and sweet nature also makes an outstanding companion. The Wheaten gets along great with children and makes a perfect watch dog due to its alert demeanor and protectiveness over those closest to it. If integrated into social interactions as puppies they will behave gracefully among other pets. Because this dog is protective and closely devoted to their families ..."
Spaniel (American Cocker),Gundog,,,,12 - 15 yrs.,14 - 15 in.,24 - 28 lbs,80,95,60,80,66,33,33,38,80,50,75,95,10,80,50,95,20,20,63,70,,"Everything about the Cocker Spaniel dog breed. Discover Cocker Spaniel coloring, sizing, traits, lifespan, and compare Cocker Spaniels to other dog breeds.","Cocker spaniels are intelligent, loving, trusting dogs. They have a strong desire to please and are excellent with children and other pets. The breed enjoys playing, but since they are a sporting breed they retain strong hunting instincts and will go after any bird, squirrel, or other small animal they see in the yard. In fact, the breed was named after their excellence at hunting the woodcock bird. Fully grown the cocker spaniel stands 15 inches tall and weighs 24-28 pounds which makes them the smallest breed in the sp..."
Spaniel (American Water),Gundog,,,,10 - 12 yrs.,15 - 18 in.,30 - 45 lbs,80,95,90,40,66,50,50,50,60,38,88,80,60,95,60,40,20,20,42,80,"Epilepsy, Allergies, Cataracts, Distichiasis, Hip dysplasia, Heart disease, Hypothyroidism, Retinal Dysplasia, Mitral Valve Disease, Lenticular Opacities, Degenerative Myelopathy, Progressive Retinal Atrophy (PRA), Pattern Baldness (Saddle Alopecia), Growth Hormone-Responsive Dermatitis","American Water Spaniel information, facts, and high-quality breed pictures. Learn everything about the American Water Spaniel dog breed including temperament, care, and more.","When it comes to the American Water Spaniel (AWS), it might be difficult to get past the unique look of this extraordinary dog. While she may look like a Poodle mixed with a Spaniel, what with the curly coat and the massive ears, she is indeed a purebred dog. It's unknown just how this breed was developed, and these dogs are extremely rare. Named the official state dog of Wisconsin in 1985, the AWS is a highly desirable gun dog that nevertheless remains somewhat of a curiosity. The American Water Spaniel is a bonafide h..."
Spaniel (Clumber),Gundog,,,,10 - 12 yrs.,17 - 20 in.,70 - 85 lbs,80,95,60,80,66,50,33,50,40,75,0,80,30,95,10,95,40,40,100,70,"Eye problems such as entropion and ectropion affect the eye lids. Cataracts and Progressive Retinal Atrophy (PRA) are also seen occasionally., Ear infections are common for this breed., Joint issues such as hip dysplasia, intervertebral disc disease, and Spaniel elbow are also common. Eosinophilic panosteitis is also seen somewhat often and results in inability of a puppy to move by itself-- it manifests during months 6-12 but goes away on its own after the bones are fully formed., Hypothyroidism is another health concern. This is diagnosed via blood test.","Clumber Spaniel information, facts, and high-quality breed pictures. Learn everything about the Clumber Spaniel dog breed including temperament, care, and more.",The Clumber Spaniel is a dog whose background is not fully known. It's thought the breed comes from Alpine Spaniels crossed with Basset Hounds -- this resulting dog being later crossed with Bernese Mountain Dogs . This unique combination produces a hunting companion with both Hound and Spaniel skills. It's no secret the breed was prized as a royal hunting dog; the current theory of the Clumber's history is that a French nobleman smuggled some out of France during the French Revolution. The Duke of Newcastle ended up wit...
Spaniel (Cocker),Gundog,,,,12 - 15 yrs.,14 - 15 in.,24 - 28 lbs,80,95,60,80,66,33,33,38,80,50,75,95,10,80,50,95,20,20,63,70,,"Everything about the Cocker Spaniel dog breed. Discover Cocker Spaniel coloring, sizing, traits, lifespan, and compare Cocker Spaniels to other dog breeds.","Cocker spaniels are intelligent, loving, trusting dogs. They have a strong desire to please and are excellent with children and other pets. The breed enjoys playing, but since they are a sporting breed they retain strong hunting instincts and will go after any bird, squirrel, or other small animal they see in the yard. In fact, the breed was named after their excellence at hunting the woodcock bird. Fully grown the cocker spaniel stands 15 inches tall and weighs 24-28 pounds which makes them the smallest breed in the sp..."
Spaniel (English Springer),Gundog,,,,9 - 15 yrs.,18 - 22 in.,45 - 55 lbs,95,95,95,95,83,67,50,63,60,50,75,95,30,95,40,20,20,20,63,90,,"Everything about the English Springer Spaniel dog breed. Discover English Springer Spaniel coloring, sizing, traits, lifespan, and more.",It is not uncommon for working English Springer Spaniels to have a slightly different physical appearance than show English Springer Spaniels. This is due to the breed being segregated for several decades. The English Springer Spaniel is a medium sized dog. Adults generally stand 18-22 inches tall (from ground to shoulder) and weigh around 50 pounds. Their size makes them ideal for transportation and living in smaller homes (as long as they get adequate exercise).
Spaniel (Field),Gundog,,,,12 - 13 yrs.,17 - 18 in.,45 - 50 lbs,95,95,95,80,83,67,50,63,60,50,50,95,40,95,60,20,20,20,63,80,"Hip dysplasia is ones of the most common issues for these dogs., Hypothyroidism is another common condition that may manifest as an autoimmune form of thyroid disease., Eye problems such as retinal fold and eyelid disorders, entropion and ectropion, are also seen relatively often., Heart defects are sometimes seen in the breed and can be inherited or unrelated to genes., Epilepsy is not common but has been observed in Field Spaniels.","Field Spaniel information, facts, and high-quality breed pictures. Learn everything about the Field Spaniel dog breed including temperament, care, and more.","The Field Spaniel is English in origin and is a rare breed, in fact, all Fieldies can trace their lineage back to four dogs from England that saved the breed from extinction during the 1950's-1960's. What caused such a trainable, talented and sweet breed to teeter on the verge of collapse? Unfortunately it was unsound breeding practices. They were, like all Spaniels, hunting dogs and considered in the group termed ""land spaniels"" but with the emergence of dog shows breeders had began to try to tease out a breed with eye..."
